,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
200211,   11.55,    5.65,    6.17,    8.00,    5.52,    6.91,    5.34,    6.30,    9.43,    4.91,    6.58,    6.30,    7.98,    3.65,    8.78,    5.73,    6.86,    9.21,   10.10
200212,   -5.72,   -6.30,   -4.12,   -5.99,   -6.49,   -5.99,   -3.31,   -3.60,   -6.55,   -6.87,   -5.83,   -5.37,   -7.07,   -3.62,   -2.72,   -1.62,   -5.54,   -7.89,   -2.29
200301,    1.95,   -2.83,   -1.90,   -4.53,   -2.73,   -2.85,   -1.43,   -4.04,   -3.96,   -2.74,   -2.72,   -3.31,   -2.02,   -0.73,   -2.75,   -3.09,   -5.00,   -4.42,   -2.61
200302,   -0.26,   -1.54,   -2.32,   -4.19,   -1.36,   -2.39,   -2.39,   -3.08,   -4.31,   -0.30,   -3.17,   -2.41,   -2.34,   -2.16,   -2.84,   -2.10,   -4.09,   -3.77,   -5.88
200303,    5.24,    1.60,    0.37,   -0.97,    1.75,    0.43,    0.75,    0.00,   -1.80,    3.29,   -0.96,    0.85,   -0.30,    0.57,    1.12,    0.28,   -0.30,   -2.38,   -0.05
200304,    8.56,    7.90,    8.86,   10.83,    7.66,    9.05,    9.05,    9.02,   11.80,    6.94,    9.04,    9.07,    9.02,    8.54,   10.05,    8.04,   10.06,   13.52,    6.81
200305,   10.23,    5.33,    7.86,    8.80,    4.95,    7.67,    7.67,    8.06,    8.92,    2.99,    8.62,    7.21,    8.48,    6.68,    9.58,    7.45,    8.69,    8.19,   11.20
200306,    5.02,    1.36,    1.44,    1.45,    1.19,    2.02,    1.55,   -0.14,    4.43,    1.32,    0.96,    2.21,    1.69,    1.59,    1.48,    0.69,   -0.98,    3.62,    6.86
200307,    3.36,    2.01,    3.14,    2.17,    1.54,    4.30,    2.43,    1.87,    3.47,    0.62,    2.99,    4.43,    4.17,    1.75,    3.08,    2.89,    1.21,    3.52,    3.35
200308,    5.59,    2.24,    1.89,    4.53,    2.37,    1.02,    2.76,    3.56,    5.05,    0.83,    4.74,    1.60,    0.46,    4.34,    1.27,    2.67,    4.15,    4.19,    7.46
200309,    0.68,   -1.16,   -0.67,   -2.39,   -1.01,   -1.17,   -1.17,   -1.88,   -1.08,   -0.07,   -2.40,   -1.95,   -0.41,   -0.90,   -1.43,    0.42,   -3.38,   -1.79,    0.87
200310,    8.98,    5.34,    7.28,    7.71,    4.60,    7.78,    7.79,    7.77,    7.37,    3.52,    6.25,    9.07,    6.52,    6.40,    9.16,    7.46,    7.98,    6.61,    9.39
200311,    1.54,    0.90,    1.88,    3.18,    0.98,    1.01,    2.47,    1.80,    3.96,    0.71,    1.38,    0.49,    1.53,    3.70,    1.30,    0.65,    2.57,    3.43,    5.35
200312,    0.47,    4.45,    4.14,    5.10,    4.36,    5.03,    3.44,    4.99,    4.32,    3.88,    5.07,    4.90,    5.17,    2.84,    4.02,    3.91,    5.71,    3.83,    5.56
200401,    6.73,    1.56,    2.55,    4.10,    1.64,    0.97,    3.64,    2.57,    6.77,    1.28,    2.17,    1.16,    0.79,    4.57,    2.74,    3.37,    2.06,    6.77,    6.76
200402,   -0.40,    1.06,    2.12,    2.26,    1.08,    1.68,    2.47,    1.27,    2.46,    1.78,    0.07,    0.92,    2.43,    3.13,    1.81,   -0.01,    2.11,    3.50,   -0.16
200403,   -1.19,   -1.74,   -0.62,   -0.25,   -2.02,   -0.36,   -0.81,   -0.31,   -0.44,   -1.67,   -2.53,   -0.36,   -0.36,   -0.69,   -0.93,   -0.65,   -0.10,    0.05,   -1.73
200404,   -3.66,   -0.35,   -3.66,   -4.30,    0.12,   -3.14,   -4.32,   -3.10,   -4.34,    1.11,   -1.36,   -2.63,   -3.64,   -3.69,   -4.99,   -1.25,   -4.26,   -3.83,   -5.70
200405,    3.44,    1.24,    1.26,    0.98,    1.19,    1.39,    1.26,    0.62,    1.78,    0.51,    2.24,    1.45,    1.33,    0.05,    2.57,    1.05,    0.34,    1.39,    2.83
